date,normalized_area,species_presence_count,species_unique_count,schooling_signal_count,surface_activity_signal_count,small_size_signal_count,decent_or_large_size_signal_count,shore_reports_count,boat_reports_count,top_species_1,top_species_1_count,top_species_2,top_species_2_count,top_species_3,top_species_3_count
2020-11-12,tasmania,1,1,0,0,0,0,0,0,australian_salmon,1,,,,
2021-02-18,tasmania,1,1,0,0,0,0,0,0,snapper,1,,,,
2022-05-26,tasmania,1,1,0,0,0,0,0,0,bream,1,,,,
2022-08-13,tasmania,1,1,0,0,0,0,0,0,trout,1,,,,
2022-08-20,tasmania,1,1,0,0,0,0,0,0,trout,1,,,,
2022-08-21,tasmania,1,1,0,0,0,1,0,0,trout,1,,,,
2022-11-09,tasmania,1,1,0,0,0,0,0,0,bream,1,,,,
2023-05-14,hobart,1,1,0,0,0,0,0,0,bream,1,,,,
2023-05-16,tasmania,1,1,0,0,0,0,0,0,bream,1,,,,
2023-06-07,tasmania,1,1,0,0,0,0,0,0,bream,1,,,,
2023-11-21,tasmania,0,0,0,0,0,1,0,0,,,,,,
2024-01-07,tasmania,1,1,0,0,0,0,0,0,snapper,1,,,,
2024-01-10,hobart,1,1,0,0,0,0,0,0,wrasse,1,,,,
2024-01-20,tasmania,2,2,0,0,0,0,0,0,kingfish,1,snapper,1,,
2024-02-05,tasmania,1,1,0,0,0,0,0,0,kingfish,1,,,,
2024-03-20,hobart,0,0,0,0,0,0,1,0,,,,,,
2024-03-23,hobart,4,1,0,0,0,1,0,0,kingfish,4,,,,
2024-03-23,tasmania,2,1,0,0,0,0,0,0,kingfish,2,,,,
2024-04-20,kangaroo_bluff,1,1,0,0,0,0,0,0,squid,1,,,,
2024-05-02,tasmania,1,1,0,0,0,0,0,0,kingfish,1,,,,
2024-06-02,tasmania,1,1,0,0,0,0,0,0,bream,1,,,,
2024-06-23,tasmania,1,1,0,0,0,0,0,0,bream,1,,,,
2024-08-13,tasmania,1,1,0,0,0,0,0,0,snapper,1,,,,
