captured_at,date,source_platform,source_type,location_text,normalized_area,normalized_micro_spot,shore_vs_boat,species_mentions,schooling_signal,surface_activity_signal,size_signal,method_mentions,evidence_confidence,raw_excerpt,url_or_reference
2026-04-07T13:13:38,2024-03-23,xiaohongshu,xiaohongshu_browser_probe,hobart,hobart,,unknown,kingfish,unknown,unknown,unknown,,medium,"塔州Kingfish
Talking to the 慕
2024-03-23
48",https://www.xiaohongshu.com/explore/65fe772d000000001302571e
2026-04-07T13:13:38,2025-12-04,xiaohongshu,xiaohongshu_browser_probe,hobart,hobart,,unknown,,unknown,unknown,unknown,,low,"记录我在霍巴特钓过的🐟
地未衣来
2025-12-04
10",https://www.xiaohongshu.com/explore/6930b9ed000000000d036ce4
2026-04-07T13:13:38,2026-02-09,xiaohongshu,xiaohongshu_browser_probe,hobart,hobart,,unknown,snapper,unknown,unknown,unknown,,low,"圆梦大snapper啦～
爱打龟🐢的拍崽
02-09
37",https://www.xiaohongshu.com/explore/698993b1000000000e00cf65
2026-04-07T13:13:38,2024-06-23,xiaohongshu,xiaohongshu_browser_probe,tasmania,tasmania,,unknown,bream,unknown,unknown,unknown,,medium,"塔州黑鲷｜小装备大乐趣
Randolph舒
2024-06-23
80",https://www.xiaohongshu.com/explore/65e45c0600000000040013a3
2026-04-07T13:13:38,2026-03-24,xiaohongshu,xiaohongshu_browser_probe,tasmania,tasmania,,unknown,,unknown,unknown,unknown,,low,"一不小心就钓了那么多
翻山越岭
03-24
1",https://www.xiaohongshu.com/explore/69c241ef000000002800b67c
2026-04-07T13:13:38,2024-09-11,xiaohongshu,xiaohongshu_browser_probe,hobart,hobart,,unknown,,unknown,unknown,unknown,,low,"塔州霍巴特｜钓鱼佬每周末早出晚归鱼获大赏
Danlulu
2024-09-11
17",https://www.xiaohongshu.com/explore/66e15e3d0000000026031a98
2026-04-08T12:11:58,2024-03-23,xiaohongshu,xiaohongshu_march_batch_v1,hobart,hobart,,unknown,kingfish,unknown,unknown,large,,medium,"塔州Kingfish
塔州海钓第一条Kingfish也是钓鱼路的第一条。开始钓鱼一个多月就毕业了，是不是有点快？佐大师确实厉害！66的大鱼确实有力，来来回回拉扯十分钟，拉到浅滩拖上岸。
	
#Kingfish[话题]# #塔斯马尼亚[话题]##霍巴特[话题]##hobart[话题]# #钓鱼[话题]# #我的留学故事[话题]# #塔州日常[话题]# #塔州生活[话题]# #塔州海钓[话题]# #路亚[话题]# #钓鱼人[话题]#",https://www.xiaohongshu.com/search_result/65fe772d000000001302571e?xsec_token=ABgwDm2P6UxcJiy94ciR6Mm_OptWae5dk-fzVRBNbVV-8=&xsec_source=
2026-04-08T12:11:59,2026-03-03,xiaohongshu,xiaohongshu_march_batch_v1,hobart,hobart,,unknown,,unknown,unknown,decent,,medium,"鱿鱼杆拉澳三
老地方新配方，软杆细线大弯弓的感觉，仿佛拉大物一样，最近感觉软饵也挺不错，抛投距离也还可以，适口性也比铁板好#钓鱼人的快乐[话题]# #路亚[话题]# #塔斯马尼亚[话题]# #霍巴特[话题]#",https://www.xiaohongshu.com/search_result/69a6a0eb000000001d024798?xsec_token=ABbA2CSNIFpNgky2JAkoX5mhFROwxY_CqwN2IljeC3w4U=&xsec_source=
2026-04-08T12:12:00,2026-03-24,xiaohongshu,xiaohongshu_march_batch_v1,tasmania,tasmania,,unknown,mackerel,unknown,unknown,unknown,,medium,"一不小心就钓了那么多
第一次钓鱼
可以实现鲭鱼自由 🥳🥳
#塔州生活[话题]# #钓鱼[话题]##鲭鱼[话题]#",https://www.xiaohongshu.com/search_result/69c241ef000000002800b67c?xsec_token=ABfan_l_-WWNegpu0Qb9Iy9SGmm4cCGhT1l0NN5MnGPmY=&xsec_source=
2026-04-08T12:12:00,2024-03-20,xiaohongshu,xiaohongshu_march_batch_v1,hobart,hobart,,shore,,unknown,unknown,unknown,,medium,"复活节去哪儿钓？
北边钓得爽的shark bay，coral bay，exmouth
距离都比较远
南边近些，放眼望去，一堆选择，景点也不少
太多点没去过，也是挨个试探中
筛选条件：
远离人造海岸线（jetty，harbour）
最好是个半岛，有三个朝向
较为小众冷门钓点
礁石，珊瑚（沙滩钓不在考虑范围内）
有离岸风更佳
	
探钓还是老规矩，安全第一！浮潜也一样，尤其去无人区！
愿巨物与你同在[斜眼R]
#钓鱼[话题]# #西澳[话题]# #澳大利亚[话题]# #珀斯[话题]# #whv[话题]# #矶钓[话题]# #海钓[话题]# #钓点[话题]# #钓点分享[话题]# #澳洲[话题]# #澳洲海钓[话题]# #钓鱼人[话题]# #钓鱼人的快乐[话题]# #钓鱼佬[话题]# #澳洲钓友[话题]# #海鱼[话题]# #海[话题]# #浮潜[话题]# #旅游[话题]# #旅行[话题]# #小众旅行地[话题]#",https://www.xiaohongshu.com/search_result/65fa6fd50000000012036700?xsec_token=ABiNeoy9WLhQ-iJ_tlT7tZTir7HXnUaZe9Tgda-PljStw=&xsec_source=
2026-04-08T12:12:01,2026-03-17,xiaohongshu,xiaohongshu_march_batch_v1,hobart,hobart,,unknown,squid,unknown,unknown,unknown,,medium,"🌞✌️
#钓鱼人的快乐[话题]# #钓鱼[话题]# #钓鱿鱼[话题]##霍巴特[话题]# #塔州[话题]# #塔斯马尼亚[话题]# #霍巴特生活[话题]#",https://www.xiaohongshu.com/search_result/69b8935e000000002003aa54?xsec_token=ABrRDlZB8A4yNEvp8FbDtlJvTXwMBfRb45EvtmScMx9Ec=&xsec_source=
2026-04-08T15:06:30,2026-04-04,facebook,facebook_browser_probe,hobart,hobart,,boat,tuna,unknown,unknown,unknown,,medium,"Good Friday.. turned absolute ripper Friday with this Bluefin Tuna taking the lure after only a short troll! 40 minute fight. Team effort! Thanks for today guys enjoy your fresh Easter fish
76",https://www.facebook.com/mrflatheadtasmania/posts/pfbid0BZKhq9pDed6x4G2sakL6tXk2DLdEaf6hiJuLKFAutKwpZmbnRYKPf6n5ZZfebi4xl
2026-04-08T15:47:49,2026-04-08,facebook,facebook_browser_probe,tasmania,tasmania,,unknown,gummy_shark,unknown,unknown,large,,medium,"Easter Gummy!
1.6m
153",https://www.facebook.com/groups/365640693613260/posts/3433539046823394/
