coordinate_role,depth_m,distance_from_access,guide_name,id,jurisdiction,latitude,longitude,map_eligible,notes,official_owner,official_url,planner_eligible,reef_balls,review_status,role,scope,score_impact,source_kind,spot_name,spot_type
official_coordinate,64,Tweed Heads - 13.0,NSW official fish aggregating devices,nsw_official_fad:001:tweed_heads,NSW,-28.162167,153.683333,True,NSW official FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/fish-aggregating-devices,False,,check_deployed_status_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_fad_coordinate_table,Tweed Heads,fad
official_coordinate,70,Brunswick Heads - 17.0,NSW official fish aggregating devices,nsw_official_fad:002:byron_bay,NSW,-28.61205,153.712633,True,NSW official FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/fish-aggregating-devices,False,,check_deployed_status_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_fad_coordinate_table,Byron Bay,fad
official_coordinate,70,Richmond River - 14.0,NSW official fish aggregating devices,nsw_official_fad:003:ballina,NSW,-28.907167,153.686483,True,NSW official FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/fish-aggregating-devices,False,,check_deployed_status_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_fad_coordinate_table,Ballina,fad
official_coordinate,50,Evans River - 17.0,NSW official fish aggregating devices,nsw_official_fad:004:evans_head,NSW,-29.106667,153.603333,True,NSW official FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/fish-aggregating-devices,False,,check_deployed_status_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_fad_coordinate_table,Evans Head,fad
official_coordinate,70,Clarence River - 23.0,NSW official fish aggregating devices,nsw_official_fad:005:yamba,NSW,-29.621133,153.485883,True,NSW official FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/fish-aggregating-devices,False,,check_deployed_status_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_fad_coordinate_table,Yamba,fad
official_coordinate,65,Wooli River - 16.0,NSW official fish aggregating devices,nsw_official_fad:006:wooli,NSW,-29.878383,153.435283,True,NSW official FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/fish-aggregating-devices,False,,check_deployed_status_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_fad_coordinate_table,Wooli,fad
official_coordinate,85,Coffs Harbour - 21,NSW official fish aggregating devices,nsw_official_fad:007:coffs_harbour,NSW,-30.247633,153.360083,True,NSW official FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/fish-aggregating-devices,False,,check_deployed_status_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_fad_coordinate_table,Coffs Harbour,fad
official_coordinate,60,Nambucca River - 13.0,NSW official fish aggregating devices,nsw_official_fad:008:nambucca,NSW,-30.660367,153.1489,True,NSW official FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/fish-aggregating-devices,False,,check_deployed_status_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_fad_coordinate_table,Nambucca,fad
official_coordinate,104,Macleay River - 16.5,NSW official fish aggregating devices,nsw_official_fad:009:south_west_rocks,NSW,-30.842233,153.196717,True,NSW official FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/fish-aggregating-devices,False,,check_deployed_status_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_fad_coordinate_table,South West Rocks,fad
official_coordinate,85,Korogoro Creek - 7.5,NSW official fish aggregating devices,nsw_official_fad:010:hat_head,NSW,-31.0106,153.129917,True,NSW official FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/fish-aggregating-devices,False,,check_deployed_status_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_fad_coordinate_table,Hat Head,fad
official_coordinate,90,Hastings River - 16,NSW official fish aggregating devices,nsw_official_fad:011:port_macquarie,NSW,-31.44065,153.072367,True,NSW official FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/fish-aggregating-devices,False,,check_deployed_status_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_fad_coordinate_table,Port Macquarie,fad
official_coordinate,65,Camden Haven - 10,NSW official fish aggregating devices,nsw_official_fad:012:laurieton,NSW,-31.660017,152.93725,True,NSW official FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/fish-aggregating-devices,False,,check_deployed_status_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_fad_coordinate_table,Laurieton,fad
official_coordinate,79,Crowdy Harbour - 17,NSW official fish aggregating devices,nsw_official_fad:013:crowdy_head,NSW,-31.783333,152.92,True,NSW official FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/fish-aggregating-devices,False,,check_deployed_status_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_fad_coordinate_table,Crowdy Head,fad
