id,jurisdiction,guide_name,spot_name,spot_type,scope,source_kind,official_owner,official_url,latitude,longitude,coordinate_role,geocode_status,geocode_label,planner_eligible,map_eligible,role,score_impact,review_status,notes
nsw_sydney_harbour_go_fishing:001:watsons_bay,NSW,"Go Fishing - Sydney Harbour's Wharves, Piers and Parks",Watsons Bay,wharf_reserve,coastal_estuary,official_go_fishing_guide_map_label,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/info/fishing-locations/go-fishing-sydney-harbours-wharves%2C-piers-and-parks,-33.844183,151.281594,spot_candidate,nominatim_first_match,"Watsons Bay, Eastern Suburbs, Sydney, New South Wales, 2030, Australia",True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named on NSW DPI Go Fishing Sydney Harbour guide map; verify local access, signage, and closures before user-facing planning."
nsw_sydney_harbour_go_fishing:002:watsons_bay_ferry_wharf,NSW,"Go Fishing - Sydney Harbour's Wharves, Piers and Parks",Watsons Bay Ferry Wharf,ferry_wharf,coastal_estuary,official_go_fishing_guide_map_label,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/info/fishing-locations/go-fishing-sydney-harbours-wharves%2C-piers-and-parks,-33.843526,151.280977,spot_candidate,nominatim_first_match,"Watsons Bay Wharf, Marine Parade, Watsons Bay, Eastern Suburbs, Sydney, New South Wales, 2030, Australia",True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named on NSW DPI Go Fishing Sydney Harbour guide map; verify local access, signage, and closures before user-facing planning."
nsw_sydney_harbour_go_fishing:003:vaucluse_nielsen_park,NSW,"Go Fishing - Sydney Harbour's Wharves, Piers and Parks",Vaucluse Nielsen Park,park_reserve,coastal_estuary,official_go_fishing_guide_map_label,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/info/fishing-locations/go-fishing-sydney-harbours-wharves%2C-piers-and-parks,-33.853399,151.269519,spot_candidate,nominatim_first_match,"Nielsen Park, Vaucluse Rd, Vaucluse Road, Vaucluse, Eastern Suburbs, Sydney, New South Wales, 2030, Australia",True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named on NSW DPI Go Fishing Sydney Harbour guide map; verify local access, signage, and closures before user-facing planning."
nsw_sydney_harbour_go_fishing:004:cobblers_beach_inner_middle_head,NSW,"Go Fishing - Sydney Harbour's Wharves, Piers and Parks",Cobblers Beach Inner Middle Head,shoreline,coastal_estuary,official_go_fishing_guide_map_label,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/info/fishing-locations/go-fishing-sydney-harbours-wharves%2C-piers-and-parks,-33.8247,151.2595,spot_candidate,manual_spot_coordinate,Cobblers Beach Inner Middle Head,True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named on NSW DPI Go Fishing Sydney Harbour guide map; verify local access, signage, and closures before user-facing planning."
nsw_sydney_harbour_go_fishing:005:obelisk_beach_middle_head,NSW,"Go Fishing - Sydney Harbour's Wharves, Piers and Parks",Obelisk Beach Middle Head,shoreline,coastal_estuary,official_go_fishing_guide_map_label,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/info/fishing-locations/go-fishing-sydney-harbours-wharves%2C-piers-and-parks,-33.8222,151.2608,spot_candidate,manual_spot_coordinate,Obelisk Beach Middle Head,True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named on NSW DPI Go Fishing Sydney Harbour guide map; verify local access, signage, and closures before user-facing planning."
nsw_sydney_harbour_go_fishing:006:balmoral_beach_baths,NSW,"Go Fishing - Sydney Harbour's Wharves, Piers and Parks",Balmoral Beach Baths,beach_baths,coastal_estuary,official_go_fishing_guide_map_label,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/info/fishing-locations/go-fishing-sydney-harbours-wharves%2C-piers-and-parks,-33.827781,151.252626,spot_candidate,nominatim_first_match,"Public Toilet Balmoral Beach Baths, 2A, The Esplanade, Balmoral, Mosman, Lower North Shore, Sydney, New South Wales, 2088, Australia",True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named on NSW DPI Go Fishing Sydney Harbour guide map; verify local access, signage, and closures before user-facing planning."
nsw_sydney_harbour_go_fishing:007:clifton_gardens_wharf,NSW,"Go Fishing - Sydney Harbour's Wharves, Piers and Parks",Clifton Gardens Wharf,wharf,coastal_estuary,official_go_fishing_guide_map_label,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/info/fishing-locations/go-fishing-sydney-harbours-wharves%2C-piers-and-parks,-33.8402,151.2564,spot_candidate,manual_spot_coordinate,Clifton Gardens Wharf,True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named on NSW DPI Go Fishing Sydney Harbour guide map; verify local access, signage, and closures before user-facing planning."
nsw_sydney_harbour_go_fishing:008:taylors_bay_point,NSW,"Go Fishing - Sydney Harbour's Wharves, Piers and Parks",Taylors Bay Point,shoreline,coastal_estuary,official_go_fishing_guide_map_label,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/info/fishing-locations/go-fishing-sydney-harbours-wharves%2C-piers-and-parks,-33.849,151.2534,spot_candidate,manual_spot_coordinate,Taylors Bay Point,True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named on NSW DPI Go Fishing Sydney Harbour guide map; verify local access, signage, and closures before user-facing planning."
nsw_sydney_harbour_go_fishing:009:rose_bay_ferry_wharf,NSW,"Go Fishing - Sydney Harbour's Wharves, Piers and Parks",Rose Bay Ferry Wharf,ferry_wharf,coastal_estuary,official_go_fishing_guide_map_label,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/info/fishing-locations/go-fishing-sydney-harbours-wharves%2C-piers-and-parks,-33.870584,151.262133,spot_candidate,nominatim_first_match,"Rose Bay Wharf, Rose Bay Cycleway, Rose Bay, Eastern Suburbs, Sydney, New South Wales, 2029, Australia",True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named on NSW DPI Go Fishing Sydney Harbour guide map; verify local access, signage, and closures before user-facing planning."
nsw_sydney_harbour_go_fishing:010:lyne_park_rose_bay,NSW,"Go Fishing - Sydney Harbour's Wharves, Piers and Parks",Lyne Park Rose Bay,park_reserve,coastal_estuary,official_go_fishing_guide_map_label,NSW DPI / DPIRD,https://www.dpi.nsw.gov.au/fishing/recreational/resources/info/fishing-locations/go-fishing-sydney-harbours-wharves%2C-piers-and-parks,-33.871401,151.263268,spot_candidate,nominatim_first_match,"Lyne Park, Rose Bay, Eastern Suburbs, Sydney, New South Wales, 2029, Australia",True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named on NSW DPI Go Fishing Sydney Harbour guide map; verify local access, signage, and closures before user-facing planning."
