id,jurisdiction,guide_name,spot_name,spot_type,fad_type,scope,source_kind,official_owner,official_url,latitude,longitude,coordinate_role,distance_from_access_nm,depth_m,planner_eligible,map_eligible,role,score_impact,review_status,notes
qld_official_fad:fad_1_gold_coast_24s,QLD,Find a fish aggregating device,FAD 1: Gold Coast 24s,fad,Surface FAD,offshore_boat,official_fad_coordinate_table,Queensland Government,https://www.qld.gov.au/recreation/activities/boating-fishing/rec-fishing/fish-aggregating-devices/locations,-27.9878,153.529117,official_coordinate,6 from Gold Coast Seaway,46,False,True,offshore_boat_fishing_reference,none,check_deployed_status_before_trip,Queensland Government FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.
qld_official_fad:fad_2_gold_coast_50s,QLD,Find a fish aggregating device,FAD 2: Gold Coast 50s,fad,Surface FAD,offshore_boat,official_fad_coordinate_table,Queensland Government,https://www.qld.gov.au/recreation/activities/boating-fishing/rec-fishing/fish-aggregating-devices/locations,-27.929833,153.7533,official_coordinate,16 from Gold Coast Seaway,85,False,True,offshore_boat_fishing_reference,none,check_deployed_status_before_trip,Queensland Government FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.
qld_official_fad:fad_3_gold_coast_36s,QLD,Find a fish aggregating device,FAD 3: Gold Coast 36s,fad,Surface FAD,offshore_boat,official_fad_coordinate_table,Queensland Government,https://www.qld.gov.au/recreation/activities/boating-fishing/rec-fishing/fish-aggregating-devices/locations,-27.8068,153.624533,official_coordinate,12 from Gold Coast Seaway,68,False,True,offshore_boat_fishing_reference,none,check_deployed_status_before_trip,Queensland Government FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.
qld_official_fad:fad_11_gold_coast_36s,QLD,Find a fish aggregating device,FAD 11: Gold Coast 36s,fad,Surface FAD,offshore_boat,official_fad_coordinate_table,Queensland Government,https://www.qld.gov.au/recreation/activities/boating-fishing/rec-fishing/fish-aggregating-devices/locations,-28.049667,153.656583,official_coordinate,16 from Gold Coast seaway,65,False,True,offshore_boat_fishing_reference,none,check_deployed_status_before_trip,Queensland Government FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.
qld_official_fad:fad_12_gold_coast_36s,QLD,Find a fish aggregating device,FAD 12: Gold Coast 36s,fad,Surface FAD,offshore_boat,official_fad_coordinate_table,Queensland Government,https://www.qld.gov.au/recreation/activities/boating-fishing/rec-fishing/fish-aggregating-devices/locations,-27.934,153.63885,official_coordinate,11 from Gold Coast seaway,64,False,True,offshore_boat_fishing_reference,none,check_deployed_status_before_trip,Queensland Government FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.
qld_official_fad:fad_12b_gold_coast_36s,QLD,Find a fish aggregating device,FAD 12B: Gold Coast 36s,fad,Surface FAD,offshore_boat,official_fad_coordinate_table,Queensland Government,https://www.qld.gov.au/recreation/activities/boating-fishing/rec-fishing/fish-aggregating-devices/locations,-27.924367,153.626183,official_coordinate,11 from Gold Coast seaway,64,False,True,offshore_boat_fishing_reference,none,check_deployed_status_before_trip,Queensland Government FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.
qld_official_fad:fad_12c_gold_coast_36s,QLD,Find a fish aggregating device,FAD 12C: Gold Coast 36s,fad,Surface FAD,offshore_boat,official_fad_coordinate_table,Queensland Government,https://www.qld.gov.au/recreation/activities/boating-fishing/rec-fishing/fish-aggregating-devices/locations,-27.91715,153.637783,official_coordinate,11 from Gold Coast seaway,64,False,True,offshore_boat_fishing_reference,none,check_deployed_status_before_trip,Queensland Government FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.
qld_official_fad:fad_13_gold_coast_50s,QLD,Find a fish aggregating device,FAD 13: Gold Coast 50s,fad,Surface FAD,offshore_boat,official_fad_coordinate_table,Queensland Government,https://www.qld.gov.au/recreation/activities/boating-fishing/rec-fishing/fish-aggregating-devices/locations,-27.739467,153.738567,official_coordinate,20 from Gold Coast Seaway,86,False,True,offshore_boat_fishing_reference,none,check_deployed_status_before_trip,Queensland Government FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.
qld_official_fad:fad_14_gold_coast_36s,QLD,Find a fish aggregating device,FAD 14: Gold Coast 36s,fad,Surface FAD,offshore_boat,official_fad_coordinate_table,Queensland Government,https://www.qld.gov.au/recreation/activities/boating-fishing/rec-fishing/fish-aggregating-devices/locations,-27.687967,153.613867,official_coordinate,18 from Gold Coast Seaway,66,False,True,offshore_boat_fishing_reference,none,check_deployed_status_before_trip,Queensland Government FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.
qld_official_fad:fad_15_point_lookout_offshore,QLD,Find a fish aggregating device,FAD 15: Point Lookout offshore,fad,Surface FAD,offshore_boat,official_fad_coordinate_table,Queensland Government,https://www.qld.gov.au/recreation/activities/boating-fishing/rec-fishing/fish-aggregating-devices/locations,-27.3908,153.67705,official_coordinate,12 from South Passage bar,104,False,True,offshore_boat_fishing_reference,none,check_deployed_status_before_trip,Queensland Government FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.
qld_official_fad:fad_4_stradbroke_offshore,QLD,Find a fish aggregating device,FAD 4: Stradbroke offshore,fad,Surface FAD,offshore_boat,official_fad_coordinate_table,Queensland Government,https://www.qld.gov.au/recreation/activities/boating-fishing/rec-fishing/fish-aggregating-devices/locations,-27.283817,153.627867,official_coordinate,9.5 from South Passage Bar,83,False,True,offshore_boat_fishing_reference,none,check_deployed_status_before_trip,Queensland Government FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.
qld_official_fad:fad_16_moreton_offshore,QLD,Find a fish aggregating device,FAD 16: Moreton offshore,fad,Surface FAD,offshore_boat,official_fad_coordinate_table,Queensland Government,https://www.qld.gov.au/recreation/activities/boating-fishing/rec-fishing/fish-aggregating-devices/locations,-27.18495,153.6149,official_coordinate,13 from South Passage bar,108,False,True,offshore_boat_fishing_reference,none,check_deployed_status_before_trip,Queensland Government FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.
qld_official_fad:fad_5_moreton_offshore,QLD,Find a fish aggregating device,FAD 5: Moreton offshore,fad,Surface FAD,offshore_boat,official_fad_coordinate_table,Queensland Government,https://www.qld.gov.au/recreation/activities/boating-fishing/rec-fishing/fish-aggregating-devices/locations,-27.096617,153.569617,official_coordinate,14 from Comboyuro Point,89,False,True,offshore_boat_fishing_reference,none,check_deployed_status_before_trip,Queensland Government FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.
qld_official_fad:fad_17_cape_moreton_offshore,QLD,Find a fish aggregating device,FAD 17: Cape Moreton offshore,fad,Surface FAD,offshore_boat,official_fad_coordinate_table,Queensland Government,https://www.qld.gov.au/recreation/activities/boating-fishing/rec-fishing/fish-aggregating-devices/locations,-26.994233,153.55975,official_coordinate,5 from Cape Moreton,108,False,True,offshore_boat_fishing_reference,none,check_deployed_status_before_trip,Queensland Government FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.
qld_official_fad:fad_6_bribie_offshore,QLD,Find a fish aggregating device,FAD 6: Bribie offshore,fad,Surface FAD,offshore_boat,official_fad_coordinate_table,Queensland Government,https://www.qld.gov.au/recreation/activities/boating-fishing/rec-fishing/fish-aggregating-devices/locations,-26.928917,153.529583,official_coordinate,12 from Comboyuro Point,100,False,True,offshore_boat_fishing_reference,none,check_deployed_status_before_trip,Queensland Government FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.
qld_official_fad:fad_18_wide_caloundra,QLD,Find a fish aggregating device,FAD 18: Wide Caloundra,fad,Surface FAD,offshore_boat,official_fad_coordinate_table,Queensland Government,https://www.qld.gov.au/recreation/activities/boating-fishing/rec-fishing/fish-aggregating-devices/locations,-26.745967,153.45315,official_coordinate,18 from Mooloolaba,60,False,True,offshore_boat_fishing_reference,none,check_deployed_status_before_trip,Queensland Government FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.
qld_official_fad:fad_19_mooloolaba_18nm,QLD,Find a fish aggregating device,FAD 19: Mooloolaba 18nm,fad,Surface FAD,offshore_boat,official_fad_coordinate_table,Queensland Government,https://www.qld.gov.au/recreation/activities/boating-fishing/rec-fishing/fish-aggregating-devices/locations,-26.57535,153.45355,official_coordinate,18 from Mooloolaba,49,False,True,offshore_boat_fishing_reference,none,check_deployed_status_before_trip,Queensland Government FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.
qld_official_fad:fad_7_mooloolaba_10nm,QLD,Find a fish aggregating device,FAD 7: Mooloolaba 10nm,fad,Surface FAD,offshore_boat,official_fad_coordinate_table,Queensland Government,https://www.qld.gov.au/recreation/activities/boating-fishing/rec-fishing/fish-aggregating-devices/locations,-26.598467,153.3281,official_coordinate,10 from Mooloolaba,55,False,True,offshore_boat_fishing_reference,none,check_deployed_status_before_trip,Queensland Government FAD coordinate. Offshore/boat-only reference; not a shore fishing spot.
