id,jurisdiction,guide_name,spot_name,spot_type,scope,source_kind,official_owner,official_url,latitude,longitude,coordinate_role,geocode_status,geocode_label,planner_eligible,map_eligible,role,score_impact,review_status,notes
vic_go_fishing:001:bittern,VIC,Go Fishing - Western Port Bay,Bittern,beach,coastal_estuary,official_go_fishing_guide_map_label,Victorian Fisheries Authority,https://vfa.vic.gov.au/__data/assets/pdf_file/0011/951473/VFA4000.05.23-GoFishing_WesternPortBay_WEB.pdf,-38.33758,145.177329,spot_candidate,nominatim_first_match,"Bittern, Victoria, 3918, Australia",True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named in a VFA Go Fishing guide. Verify local access, signage, and marine park or closure rules before user-facing planning."
vic_go_fishing:002:corinella_jetty,VIC,Go Fishing - Western Port Bay,Corinella Jetty,jetty,coastal_estuary,official_go_fishing_guide_map_label,Victorian Fisheries Authority,https://vfa.vic.gov.au/__data/assets/pdf_file/0011/951473/VFA4000.05.23-GoFishing_WesternPortBay_WEB.pdf,-38.414581,145.431202,spot_candidate,nominatim_first_match,"Corinella, Victoria, Australia",True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named in a VFA Go Fishing guide. Verify local access, signage, and marine park or closure rules before user-facing planning."
vic_go_fishing:003:cowes_jetty,VIC,Go Fishing - Western Port Bay,Cowes Jetty,jetty,coastal_estuary,official_go_fishing_guide_map_label,Victorian Fisheries Authority,https://vfa.vic.gov.au/__data/assets/pdf_file/0011/951473/VFA4000.05.23-GoFishing_WesternPortBay_WEB.pdf,-38.446206,145.239789,spot_candidate,nominatim_first_match,"Cowes Jetty, Cowes, Victoria, 3922, Australia",True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named in a VFA Go Fishing guide. Verify local access, signage, and marine park or closure rules before user-facing planning."
vic_go_fishing:004:flinders_pier,VIC,Go Fishing - Western Port Bay,Flinders Pier,pier,coastal_estuary,official_go_fishing_guide_map_label,Victorian Fisheries Authority,https://vfa.vic.gov.au/__data/assets/pdf_file/0011/951473/VFA4000.05.23-GoFishing_WesternPortBay_WEB.pdf,-38.475685,145.027162,spot_candidate,nominatim_first_match,"Flinders Pier, Flinders Pier Boatramp, Flinders, Shire of Mornington Peninsula, Victoria, 3929, Australia",True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named in a VFA Go Fishing guide. Verify local access, signage, and marine park or closure rules before user-facing planning."
vic_go_fishing:005:hastings,VIC,Go Fishing - Western Port Bay,Hastings,foreshore_pier,coastal_estuary,official_go_fishing_guide_map_label,Victorian Fisheries Authority,https://vfa.vic.gov.au/__data/assets/pdf_file/0011/951473/VFA4000.05.23-GoFishing_WesternPortBay_WEB.pdf,-38.305606,145.185993,spot_candidate,nominatim_first_match,"Hastings, Church Street, Melbourne, Victoria, 3915, Australia",True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named in a VFA Go Fishing guide. Verify local access, signage, and marine park or closure rules before user-facing planning."
vic_go_fishing:006:merricks_beach,VIC,Go Fishing - Western Port Bay,Merricks Beach,beach,coastal_estuary,official_go_fishing_guide_map_label,Victorian Fisheries Authority,https://vfa.vic.gov.au/__data/assets/pdf_file/0011/951473/VFA4000.05.23-GoFishing_WesternPortBay_WEB.pdf,-38.398914,145.106359,spot_candidate,nominatim_first_match,"Merricks Beach, Victoria, 3926, Australia",True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named in a VFA Go Fishing guide. Verify local access, signage, and marine park or closure rules before user-facing planning."
vic_go_fishing:007:rhyll_jetty,VIC,Go Fishing - Western Port Bay,Rhyll Jetty,jetty,coastal_estuary,official_go_fishing_guide_map_label,Victorian Fisheries Authority,https://vfa.vic.gov.au/__data/assets/pdf_file/0011/951473/VFA4000.05.23-GoFishing_WesternPortBay_WEB.pdf,-38.463347,145.306882,spot_candidate,nominatim_first_match,"Rhyll, Victoria, 3923, Australia",True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named in a VFA Go Fishing guide. Verify local access, signage, and marine park or closure rules before user-facing planning."
vic_go_fishing:008:san_remo_jetty,VIC,Go Fishing - Western Port Bay,San Remo Jetty,jetty,coastal_estuary,official_go_fishing_guide_map_label,Victorian Fisheries Authority,https://vfa.vic.gov.au/__data/assets/pdf_file/0011/951473/VFA4000.05.23-GoFishing_WesternPortBay_WEB.pdf,-38.521492,145.369394,spot_candidate,nominatim_first_match,"San Remo, Victoria, 3925, Australia",True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named in a VFA Go Fishing guide. Verify local access, signage, and marine park or closure rules before user-facing planning."
vic_go_fishing:009:stony_point_pier,VIC,Go Fishing - Western Port Bay,Stony Point Pier,pier,coastal_estuary,official_go_fishing_guide_map_label,Victorian Fisheries Authority,https://vfa.vic.gov.au/__data/assets/pdf_file/0011/951473/VFA4000.05.23-GoFishing_WesternPortBay_WEB.pdf,-38.372243,145.224734,spot_candidate,nominatim_first_match,"Stony Point Pier, Stony Point, Crib Point, Melbourne, Victoria, 3919, Australia",True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named in a VFA Go Fishing guide. Verify local access, signage, and marine park or closure rules before user-facing planning."
vic_go_fishing:010:tooradin_inlet,VIC,Go Fishing - Western Port Bay,Tooradin Inlet,inlet,tidal_estuary,official_go_fishing_guide_map_label,Victorian Fisheries Authority,https://vfa.vic.gov.au/__data/assets/pdf_file/0011/951473/VFA4000.05.23-GoFishing_WesternPortBay_WEB.pdf,-38.2148,145.3823,spot_candidate,manual_spot_coordinate,Tooradin Inlet,True,True,public_fishing_access_candidate,none,needs_access_and_closure_check,"Named in a VFA Go Fishing guide. Verify local access, signage, and marine park or closure rules before user-facing planning."
