coordinate_role,depth_m,guide_name,id,jurisdiction,latitude,longitude,map_eligible,notes,official_owner,official_url,planner_eligible,raw_coordinate_text,review_status,role,scope,score_impact,source_kind,spot_name,spot_type
official_coordinate, 17,WA official artificial reefs,wa_artificial_reef:001:01:exmouth_gulf_king_reef,WA,-21.915633,114.18725,True,WA DPIRD official artificial reef coordinate. Boat/offshore reference; not a shore fishing spot.,DPIRD Western Australia,https://www.dpird.wa.gov.au/individuals/recreational-fishing/recreational-fishing-initiatives/artificial-reefs/,False,21° 54.938' S – 114° 11.235' E (centre point),check_weather_safety_and_rules_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_artificial_reef_coordinate_page,Exmouth Gulf ‘King Reef’,artificial_reef
official_coordinate, 8,WA official artificial reefs,wa_artificial_reef:002:01:carnarvon,WA,-24.9291,113.575,True,WA DPIRD official artificial reef coordinate. Boat/offshore reference; not a shore fishing spot.,DPIRD Western Australia,https://www.dpird.wa.gov.au/individuals/recreational-fishing/recreational-fishing-initiatives/artificial-reefs/,False,"24° 55.746'S, 113° 34.500' E (centre point)",check_weather_safety_and_rules_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_artificial_reef_coordinate_page,Carnarvon,artificial_reef
official_coordinate, 27,WA official artificial reefs,wa_artificial_reef:003:01:north_metro,WA,-31.7598,115.649,True,WA DPIRD official artificial reef coordinate. Boat/offshore reference; not a shore fishing spot.,DPIRD Western Australia,https://www.dpird.wa.gov.au/individuals/recreational-fishing/recreational-fishing-initiatives/artificial-reefs/,False,31° 45.588' S – 115° 38.94' E (centre point),check_weather_safety_and_rules_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_artificial_reef_coordinate_page,North Metro,artificial_reef
official_coordinate, 45,WA official artificial reefs,wa_artificial_reef:004:01:rottnest_island_tower_1,WA,-32.12545,115.450217,True,WA DPIRD official artificial reef coordinate. Boat/offshore reference; not a shore fishing spot.,DPIRD Western Australia,https://www.dpird.wa.gov.au/individuals/recreational-fishing/recreational-fishing-initiatives/artificial-reefs/,False,Tower 1: 32° 07.527' S – 115° 27.013' E Tower 2: 32° 07.461' S – 115° 26.978' E,check_weather_safety_and_rules_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_artificial_reef_coordinate_page,Rottnest Island tower 1,artificial_reef
official_coordinate, 45,WA official artificial reefs,wa_artificial_reef:004:02:rottnest_island_tower_2,WA,-32.12435,115.449633,True,WA DPIRD official artificial reef coordinate. Boat/offshore reference; not a shore fishing spot.,DPIRD Western Australia,https://www.dpird.wa.gov.au/individuals/recreational-fishing/recreational-fishing-initiatives/artificial-reefs/,False,Tower 1: 32° 07.527' S – 115° 27.013' E Tower 2: 32° 07.461' S – 115° 26.978' E,check_weather_safety_and_rules_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_artificial_reef_coordinate_page,Rottnest Island tower 2,artificial_reef
official_coordinate, 25,WA official artificial reefs,wa_artificial_reef:005:01:mandurah,WA,-32.5265,115.583,True,WA DPIRD official artificial reef coordinate. Boat/offshore reference; not a shore fishing spot.,DPIRD Western Australia,https://www.dpird.wa.gov.au/individuals/recreational-fishing/recreational-fishing-initiatives/artificial-reefs/,False,32° 31.59' S – 115° 34.98' E (centre point),check_weather_safety_and_rules_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_artificial_reef_coordinate_page,Mandurah,artificial_reef
official_coordinate, 31,WA official artificial reefs,wa_artificial_reef:006:01:esperance_cooper_reef,WA,-33.871063,121.980567,True,WA DPIRD official artificial reef coordinate. Boat/offshore reference; not a shore fishing spot.,DPIRD Western Australia,https://www.dpird.wa.gov.au/individuals/recreational-fishing/recreational-fishing-initiatives/artificial-reefs/,False,33° 52.2638' S – 121° 58.834' E (centre point),check_weather_safety_and_rules_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_artificial_reef_coordinate_page,Esperance ‘Cooper Reef’,artificial_reef
official_coordinate, 17,WA official artificial reefs,wa_artificial_reef:007:01:bunbury,WA,-33.308333,115.598333,True,WA DPIRD official artificial reef coordinate. Boat/offshore reference; not a shore fishing spot.,DPIRD Western Australia,https://www.dpird.wa.gov.au/individuals/recreational-fishing/recreational-fishing-initiatives/artificial-reefs/,False,33° 18.500' S – 115° 35.900' E (centre point),check_weather_safety_and_rules_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_artificial_reef_coordinate_page,Bunbury,artificial_reef
official_coordinate, 27,WA official artificial reefs,wa_artificial_reef:008:01:dunsborough,WA,-33.566033,115.166333,True,WA DPIRD official artificial reef coordinate. Boat/offshore reference; not a shore fishing spot.,DPIRD Western Australia,https://www.dpird.wa.gov.au/individuals/recreational-fishing/recreational-fishing-initiatives/artificial-reefs/,False,33° 33.962' S – 115° 9.980' E (centre point),check_weather_safety_and_rules_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_artificial_reef_coordinate_page,Dunsborough,artificial_reef
official_coordinate,35,WA official artificial reefs,wa_artificial_reef:010:01:dampier_artificial_reef,WA,-20.4353,116.5631,True,WA DPIRD official artificial reef coordinate from the public ArcGIS reef layer. Boat/offshore reference; not a shore fishing spot.,DPIRD Western Australia,https://services.arcgis.com/NxaIos6bsLPQJAmb/arcgis/rest/services/Artificial_Reefs/FeatureServer/0,False,DPIRD public artificial reefs ArcGIS layer,check_weather_safety_and_rules_before_trip,offshore_boat_fishing_reference,offshore_boat,none,official_artificial_reef_arcgis_layer,Dampier Artificial Reef,artificial_reef
